Number Owned,Card Name,Premium,Set Number,Card Number
4,"Hojan, Crownbreaker",No,5,86
4,Miner's Musket,No,3,10
4,Warren Delivery,No,14,80
4,Watchwing Support,No,10,382
3,"Kemmo, Ijin's Apprentice",No,5,89
4,Kemmo's Blueprints,No,6,109
4,"Lynax, Moltenwing",No,10,119
4,Sword of Icaria,No,1,315
3,"Tayana, the Mender",No,10,405
4,Treasury Gate,No,1,164
4,Library Phoenix,No,2,22
4,Wasteland Broker,No,9,214
4,Hammer of Glory,No,8,151
5,Fire Sigil,No,1,1
5,Justice Sigil,No,1,126
3,Emerald Waystone,No,3,101
4,Crest of Glory,No,4,243
4,Rakano Cylix,No,9,184
4,Rakano Insignia,No,7,156
3,Seat of Glory,No,0,56
1,Equalize,No,9,89
1,Avigraft,No,5,95
1,Cleansing Rain,No,7,82
1,Harsh Rule,No,1,172
1,Inferno Phoenix,No,12,22
