Number Owned,Card Name,Premium,Set Number,Card Number
4,Tripwire Trap,No,14,465
4,"Aniyah, Master Sleuth",No,9,203
4,Combrei Lawmage,No,12,73
4,Shush,No,3,259
4,Warren Delivery,No,14,80
4,Display of Survival,No,13,120
4,Equalize,No,9,89
4,Heavy Hail,No,14,119
4,Pearl Abbey Smuggler,No,6,231
4,Wisdom of the Elders,No,1,218
4,Arcane Restraint,No,8,51
4,Wrath of Caiphus,No,1087,23
4,Mark of the Hive,No,15,43
4,Mark of Steelwarren,No,15,65
4,Cobalt Waystone,No,3,151
3,Combrei Cylix,No,14,187
4,Elysian Cylix,No,9,196
4,Hooru Banner,No,2,216
4,Hooru Cylix,No,14,194
1,Orene's Scepter,No,12,78
1,Lumen Reclaimer,No,3,80
1,Champion of Order,No,2,225
1,Shen-Ra Speaks,No,7,176
1,Passage of Eons,No,1001,3
