Number Owned,Card Name,Premium,Set Number,Card Number
4,Shavkan Dogma,No,13,433
4,Tripwire Trap,No,14,465
4,Caravan Delivery,No,14,5
4,Wilderness Delivery,No,14,116
4,Display of Survival,No,13,120
4,Heavy Hail,No,14,119
4,Hexdriver,No,1115,17
4,Linrei's Protection,No,1007,7
4,Pyrotech Explosion,No,10,143
4,Solfire,No,13,21
4,Ossuar Longbow,No,14,27
4,Rift's Edge,No,14,540
3,Wrath of Caiphus,No,1087,23
4,Mark of the Grove,No,15,17
4,Cobalt Waystone,No,3,151
4,Mark of the Den,No,15,96
3,Crest of Fury,No,3,266
3,Skycrag Cylix,No,9,187
4,Skycrag Insignia,No,7,162
4,Skycrag Tome,No,13,180
1,Elemental Fury,No,12,165
1,Garden of Omens,No,6,319
1,Prodigious Sorcery,No,7,115
1,Halotipped Spray,No,13,30
1,Solar Blast,No,8,115
