Number Owned,Card Name,Premium,Set Number,Card Number
3,Privilege of Nobility,No,1107,3
3,Tripwire Trap,No,14,465
4,Backlash,No,1,200
3,Glen Scout,No,10,391
3,Majestic Skies,No,8,161
4,Seek Answers,No,6,238
4,Wild Cloudsnake,No,1,195
4,Display of Survival,No,13,120
4,Great Valley Smuggler,No,5,204
3,Pteriax Hatchling,No,1,354
4,Sodi's Spellshaper,No,7,180
4,Daring Gryffyn,No,7,108
4,Riftfeeder Wasp,No,1145,9
3,Rift's Edge,No,14,540
3,Time Sigil,No,1,63
4,Primal Sigil,No,1,187
4,Cobalt Waystone,No,3,151
3,Elysian Banner,No,1,421
4,Elysian Cylix,No,9,196
4,Elysian Insignia,No,7,178
4,Elysian Tome,No,13,188
1,Display of Realities,No,13,58
1,"Larai, the Appraiser",No,6,159
1,The Throne Room,No,1085,11
1,Turn to Seed,No,1087,8
1,Grodov's Burden,No,8,53
