Number Owned,Card Name,Premium,Set Number,Card Number
4,Dichro's Ruin,No,10,406
3,Disciplinary Studies,No,12,31
3,Dissociate,No,5,44
3,Exploit,No,10,73
4,Lethrai Courtier,No,5,220
3,Miris Nightshade,No,3,217
3,Nocturnal Creeper,No,3,64
4,Banish,No,2,207
3,Ebon Dune Smuggler,No,5,221
3,Meditative Trance,No,11,48
4,Patience,No,6,67
3,Sandspitter,No,3,81
4,Lumen Reclaimer,No,3,80
4,Wasteland Broker,No,9,214
4,Wrath of Caiphus,No,1087,23
3,Temple Standard,No,4,49
4,Amethyst Waystone,No,3,201
4,Crest of Mystery,No,4,266
3,Seat of Mystery,No,0,61
4,Xenan Banner,No,2,201
4,Xenan Cylix,No,9,199
4,Xenan Insignia,No,7,184
1,Eremot's Designs,No,1007,9
1,Burglarize,No,4,224
1,Silverblade Menace,No,1087,10
1,Fall to Ruin,No,11,154
1,"Azindel, Revealed",No,1004,21
