Number Owned,Card Name,Premium,Set Number,Card Number
4,Dichro's Ruin,No,10,406
4,Hidden Garrote,No,13,145
4,Skullmarket Delivery,No,14,151
3,Sonic Blast,No,15,111
4,Toxicology,No,13,141
4,At Any Cost,No,9,155
4,Battle at the Gates,No,1085,15
3,Display of Will,No,13,155
3,Disrupt,No,4,276
4,Poison the Well,No,1155,19
4,Crystalline Wanderer,No,1145,24
4,Rift's Edge,No,14,540
4,Wrath of Caiphus,No,1087,23
15,Shadow Sigil,No,1,249
4,Amethyst Waystone,No,3,201
4,Shadow Symbol,No,9,145
4,Midnight Reprieve,No,14,202
1,Eremot's Designs,No,1007,9
1,Nullblade,No,6,209
1,Silverblade Menace,No,1087,10
1,Aurapiercer,No,8,142
1,Fall to Ruin,No,11,154
