Number Owned,Card Name,Premium,Set Number,Card Number
4,Cabal Scavenger,No,5,150
4,Sinister Rumors,No,1115,13
4,Dichro's Ruin,No,10,406
3,Forgotten Youth,No,13,143
3,Hidden Garrote,No,13,145
4,Rift Siphon,No,15,130
4,Skullmarket Delivery,No,14,151
4,Steelwarren Assassin,No,15,135
3,Battle at the Gates,No,1085,15
4,Bloodsucking Skeeter,No,1125,15
3,Display of Will,No,13,155
4,Nullblade,No,6,209
4,Wrath of Caiphus,No,1087,23
23,Shadow Sigil,No,1,249
4,Midnight Reprieve,No,14,202
1,Eremot's Designs,No,1007,9
1,Mindbreaker's Staff,No,12,142
1,Waxing Moon,No,11,144
1,Viperfang Spear,No,14,170
1,Fall to Ruin,No,11,154
