Number Owned,Card Name,Premium,Set Number,Card Number
4,Sinister Rumors,No,1115,13
4,Collapse,No,11,192
4,Skullmarket Delivery,No,14,151
3,Cast into Shadow,No,7,198
3,Disrupt,No,4,276
3,Equalize,No,9,89
4,Know Thy Enemy,No,1097,19
4,Slay,No,2,236
4,Crystalline Wanderer,No,1145,24
4,Doctor Zytrom,No,1095,19
4,Wasteland Broker,No,9,214
4,Inquisitor Makto,No,2,242
4,Wrath of Caiphus,No,1087,23
7,Justice Sigil,No,1,126
4,Mark of Steelwarren,No,15,65
7,Shadow Sigil,No,1,249
4,Argenport Cylix,No,9,205
4,Argenport Insignia,No,7,195
1,Eremot's Designs,No,1007,9
1,Nothing Remains,No,12,192
1,Nullblade,No,6,209
1,Silverblade Menace,No,1087,10
1,"Zytrom, Twisted Mind",No,12,431
