Number Owned,Card Name,Premium,Set Number,Card Number
3,Condemn,No,8,117
3,Eremot's Designs,No,1007,9
4,Quarry,No,1001,15
4,Vine Grafter,No,10,197
4,Voprex's Choice,No,7,168
4,Champion of Chaos,No,1,402
4,"Syl, No Regrets",No,12,207
4,"Buh-ton, Death's Reach",No,9,192
3,Cremate,No,7,169
4,Syl's Stronghold,No,12,430
4,"Vara, Vengeance-Seeker",No,1004,19
4,Vicious Highwayman,No,3,275
3,Viperfang Spear,No,14,170
3,Wrath of Caiphus,No,1087,23
5,Fire Sigil,No,1,1
5,Shadow Sigil,No,1,249
4,Crest of Chaos,No,3,268
4,Stonescar Insignia,No,6,228
4,Stonescar Painting,No,10,176
4,Stonescar Tome,No,12,205
1,Bore,No,1003,1
1,Dark Return,No,1,250
1,Edict of Makkar,No,7,123
1,Flame Blast,No,1,2
1,Fall to Ruin,No,11,154
