Number Owned,Card Name,Premium,Set Number,Card Number
4,Condemn,No,8,117
4,Rift Siphon,No,15,130
4,Voprex's Choice,No,7,168
4,Battle at the Gates,No,1085,15
4,Bloodsucking Skeeter,No,1125,15
4,Blurwing Raider,No,14,182
4,Display of Survival,No,13,120
4,Dragon Forge,No,7,12
4,Darktalon Wyvarch,No,8,175
4,Direwood Pack,No,1135,10
4,Ossuar Longbow,No,14,27
3,Viperfang Spear,No,14,170
4,Fall to Ruin,No,11,154
2,Fire Sigil,No,1,1
2,Primal Sigil,No,1,187
2,Shadow Sigil,No,1,249
4,Skycrag Tome,No,13,180
4,Seat of Chaos,No,0,60
4,Stonescar Cylix,No,14,184
4,Crest of Cunning,No,3,267
4,Feln Cylix,No,14,199
1,Bore,No,1003,1
1,Bullseye,No,12,4
1,Pick Clean,No,13,139
1,Seek Power,No,1,408
1,Sinister Rumors,No,1115,13
