Number Owned,Card Name,Premium,Set Number,Card Number
4,Privilege of Nobility,No,1107,3
4,Corrupt,No,3,210
4,Ephemeral Wisp,No,1,84
4,Exploit,No,10,73
4,Hidden Garrote,No,13,145
3,Hive Delivery,No,14,39
4,Mitotic Wisp,No,1003,22
3,Skullmarket Delivery,No,14,151
4,Banish,No,2,207
4,Battle at the Gates,No,1085,15
4,Interference from Beyond,No,1155,24
4,Lumen Reclaimer,No,3,80
3,Nullblade,No,6,209
4,"Azindel, Revealed",No,1004,21
6,Time Sigil,No,1,63
5,Shadow Sigil,No,1,249
4,Xenan Banner,No,2,201
4,Xenan Cylix,No,9,199
4,Xenan Insignia,No,7,184
4,Xenan Tome,No,13,192
1,Unmake,No,7,44
1,Eclipse,No,13,193
1,Viperfang Spear,No,14,170
1,Fall to Ruin,No,11,154
1,Passage of Eons,No,1001,3
