Number Owned,Card Name,Premium,Set Number,Card Number
4,Kaleb's Favor,No,0,3
1,Kaleb's Favor,Yes,0,3
4,Blazing Renegade,No,0,4
4,Flash Fire,No,0,6
4,Silence,No,0,9
4,Talir's Favored,No,0,11
1,Talir's Favored,Yes,0,11
4,Timekeeper,No,0,14
4,Oasis Sanctuary,No,0,15
4,Rolant's Favor,No,0,18
1,Rolant's Favor,Yes,0,18
4,Mantle of Justice,No,0,21
4,Eilyn's Favor,No,0,24
1,Eilyn's Favor,Yes,0,24
4,Thunderbird,No,0,27
4,Primal Incarnation,No,0,30
4,Vampire Bat,No,0,33
4,Vara's Favor,No,0,35
1,Vara's Favor,Yes,0,35
4,Devouring Shadow,No,0,36
4,Seat of Order,No,0,51
4,Seat of Fury,No,0,53
4,Seat of Impulse,No,0,54
4,Seat of Vengeance,No,0,55
4,Seat of Glory,No,0,56
4,Seat of Progress,No,0,58
4,Seat of Chaos,No,0,60
4,Seat of Mystery,No,0,61
4,Seat of Cunning,No,0,62
4,Seat of Wisdom,No,0,63
4,Flame Blast,No,1,2
1,Flame Blast,Yes,1,2
4,Charchain Flail,No,1,3
4,Heavy Axe,No,1,4
1,Heavy Axe,Yes,1,4
4,Grenadin Drone,No,1,5
1,Grenadin Drone,Yes,1,5
4,Light the Fuse,No,1,6
5,Torch,No,1,8
1,Torch,Yes,1,8
4,Frontier Jito,No,1,9
4,Temper,No,1,10
2,Temper,Yes,1,10
5,Ruthless Stranger,No,1,11
4,Ticking Grenadin,No,1,12
4,Ticking Grenadin,Yes,1,12
4,Oni Ronin,No,1,13
4,Oni Ronin,No,1,13
4,Oni Ronin,Yes,1,13
4,Warhelm,No,1,14
6,Ruin,No,1,15
4,Ruin,Yes,1,15
4,Pyroknight,No,1,16
4,Rampage,No,1,17
4,Song of War,No,1,18
3,Brazen Daredevil,No,1,19
4,Rakano Outlaw,No,1,20
4,Rakano Outlaw,Yes,1,20
5,Pyre Adept,No,1,21
3,Pyre Adept,Yes,1,21
6,Bladekin Apprentice,No,1,22
5,Ornate Katana,No,1,23
5,Piercing Shot,No,1,25
3,Shogun's Scepter,No,1,26
4,Rakano Flagbearer,No,1,27
4,Burn Out,No,1,28
4,Assembly Line,No,1,29
5,Rebel Sharpshooter,No,1,30
2,Rebel Sharpshooter,Yes,1,30
4,Granite Acolyte,No,1,31
1,Granite Acolyte,Yes,1,31
4,Oni Quartermaster,No,1,32
1,Oni Quartermaster,Yes,1,32
5,Rally,No,1,33
4,Censari Brigand,No,1,34
5,Centaur Outrider,No,1,35
4,Guerrilla Fighter,No,1,36
1,Guerrilla Fighter,Yes,1,36
4,Recogulator,No,1,37
4,Steelfang Chakram,No,1,38
4,Cloud of Ash,No,1,39
1,Cloud of Ash,Yes,1,39
4,Furnace Mage,No,1,40
4,Magma Javelin,No,1,41
2,Magma Javelin,Yes,1,41
4,Outlands Sniper,No,1,42
4,Rebel Illuminator,No,1,43
4,Oni Striker,No,1,44
1,Oni Striker,Yes,1,44
4,Infernus,No,1,45
6,Calderan Gunsmith,No,1,46
4,Soulfire Drake,No,1,47
4,Obliterate,No,1,48
1,Obliterate,No,1,48
4,Dusthoof Brawler,No,1,49
4,Centaur Raidleader,No,1,50
5,Stonescar Maul,No,1,52
2,Stonescar Maul,Yes,1,52
5,Frontline Cyclops,No,1,53
1,Frontline Cyclops,Yes,1,53
4,Worldpyre Phoenix,No,1,54
4,Hellfire Rifle,No,1,55
3,Hellfire Rifle,Yes,1,55
2,General Izalio,No,1,56
5,Crowd Favorite,No,1,58
