Number Owned,Card Name,Premium,Set Number,Card Number
3,Sinister Rumors,No,1115,13
3,Auric Vigilante,No,2,233
4,Battlemaster Kitaxius,No,10,306
3,Blackhall Warleader,No,4,201
3,Exploit,No,10,73
4,Hidden Garrote,No,13,145
3,Just Desserts,No,9,332
3,Display of Will,No,13,155
4,Hidden Road Smuggler,No,5,210
3,Nothing Remains,No,12,192
3,Nullblade,No,6,209
3,"Black Book, Pit Boss",No,13,202
4,Gift of the Auric Bank,No,13,166
4,"Tavrod, Auric Broker",No,1002,18
3,Stormhalt Plating,No,12,92
4,Justice Sigil,No,1,126
5,Shadow Sigil,No,1,249
4,Argenport Cylix,No,9,205
4,Argenport Insignia,No,7,195
4,Crest of Vengeance,No,3,264
4,Seat of Vengeance,No,0,55
1,Pick Clean,No,13,139
1,Collapse,No,11,192
1,Eremot's Designs,No,1007,9
1,Equalize,No,9,89
1,Orene's Scepter,No,12,78
