Number Owned,Card Name,Premium,Set Number,Card Number
4,Kennelmaster,No,3,5
3,Light the Fuse,No,1,6
3,Sear,No,8,8
3,Trailblaze,No,2,111
3,Whispering Wind,No,1,202
4,Howling Peak Smuggler,No,5,215
3,Jekk's Takedown,No,1087,2
3,Streets Aflame,No,6,26
4,Wisdom of the Elders,No,1,218
4,Daring Gryffyn,No,7,108
4,Rebel Illuminator,No,1,43
3,Worldpyre,No,9,215
3,Prodigious Sorcery,No,7,115
4,Solar Blast,No,8,115
3,Decimation,No,2,200
3,Fire Sigil,No,1,1
3,Primal Sigil,No,1,187
4,Cobalt Waystone,No,3,151
4,Crest of Fury,No,3,266
4,Seat of Fury,No,0,53
4,Skycrag Cylix,No,9,187
4,Skycrag Insignia,No,7,162
1,Backlash,No,1,200
1,Eilyn's Favor,No,0,24
1,Ice Bolt,No,6,151
1,Lightning Storm,No,1,206
1,Royal Decree,No,6,154
