Number Owned,Card Name,Premium,Set Number,Card Number
4,Backlash,No,1,200
3,Eremot's Designs,No,1007,9
4,Skullmarket Delivery,No,14,151
3,Unseal,No,3,167
3,Wilderness Delivery,No,14,116
4,At Any Cost,No,9,155
4,Battle at the Gates,No,1085,15
4,Display of Survival,No,13,120
4,Display of Will,No,13,155
4,Heavy Hail,No,14,119
3,Forbidden Research,No,9,132
4,Stealth Strike,No,9,135
3,Rift's Edge,No,14,540
4,Wrath of Caiphus,No,1087,23
4,Cobalt Waystone,No,3,151
4,Mark of the Den,No,15,96
4,Mark of Skullhaven,No,15,120
3,Shadow Symbol,No,9,145
4,Feln Cylix,No,14,199
4,Feln Insignia,No,6,234
3,Feln Tome,No,12,202
1,Nullblade,No,6,209
1,"Petra, Auric Launderer",No,12,145
1,Prodigious Sorcery,No,7,115
1,Fall to Ruin,No,11,154
1,Solar Blast,No,8,115
