Number Owned,Card Name,Premium,Set Number,Card Number
3,Privilege of Nobility,No,1107,3
4,Tripwire Trap,No,14,465
4,Dichro's Ruin,No,10,406
4,Disciplinary Studies,No,12,31
4,Lethrai Courtier,No,5,220
4,Blight Pass Smuggler,No,6,235
3,Celestial Discovery,No,1135,4
4,Display of Knowledge,No,5,233
4,Great Valley Smuggler,No,5,204
3,Meditative Trance,No,11,48
3,Perilous Research,No,6,68
3,Arcane Restraint,No,8,51
3,Mask of Torment,No,2,212
3,Wrath of Caiphus,No,1087,23
4,Cobalt Waystone,No,3,151
4,Elysian Cylix,No,9,196
4,Elysian Tome,No,13,188
3,Xenan Cylix,No,9,199
3,Xenan Tome,No,13,192
4,Feln Cylix,No,14,199
4,Feln Tome,No,12,202
1,Lumen Reclaimer,No,3,80
1,"Vara, Vengeance-Seeker",No,1004,19
1,Fall to Ruin,No,11,154
1,"Lys, Champion of Linrei",No,1007,8
1,Passage of Eons,No,1001,3
