Number Owned,Card Name,Premium,Set Number,Card Number
4,Corrupt,No,3,210
4,Hidden Garrote,No,13,145
3,Skullmarket Delivery,No,14,151
4,Toxicology,No,13,141
4,Vara's Favor,No,0,35
4,At Any Cost,No,9,155
4,Battle at the Gates,No,1085,15
4,Display of Will,No,13,155
3,Disrupt,No,4,276
4,Crystalline Wanderer,No,1145,24
4,Nullblade,No,6,209
4,Wasteland Broker,No,9,214
3,Rift's Edge,No,14,540
18,Shadow Sigil,No,1,249
4,Shadow Symbol,No,9,145
4,Tempting Offer,No,1085,21
1,Devouring Shadow,No,0,36
1,Deathstrike,No,1,290
1,Silverblade Menace,No,1087,10
1,Fall to Ruin,No,11,154
1,Nametaker,No,3,248
